Horizon,Fold,Feature,Importance
3m,2,∆ Pig Price (EU) 1w,0.0006688100109574303
3m,2,∆ Pig Price (EU) 2w,0.0
3m,2,∆ Pig Price (EU) 1m,0.0001338581497012934
3m,2,∆ Pig Price (EU) 3m,0.0007160237579298908
3m,2,∆ Pig Price (EU) 6m,0.0047507669268420216
3m,2,∆ Pig Price (EU) 12m,0.0009889789022099885
3m,2,Meat CPI (EU) Monthly,0.003328478607728666
3m,2,∆ Fishmeal 1m Monthly,0.00046193795595928633
3m,2,∆ Fishmeal 3m Monthly,0.0012889260924034615
3m,2,∆ Fishmeal 6m Monthly,0.005473554160895978
3m,2,∆ Fishmeal 12m Monthly,0.00045773507506511024
3m,2,Brent FWD Slope,0.00042289500494946896
3m,2,Brent FWD Curvature,0.0003655206922215934
3m,2,Soybean FWD Slope,0.011054030183175745
3m,2,Soybean FWD Curvature,0.012090136315690735
3m,2,Month_01,0.0
3m,2,Month_02,0.0
3m,2,Month_03,0.0
3m,2,Month_04,0.0
3m,2,Month_05,0.00025637944434151843
3m,2,Month_06,0.0
3m,2,Month_07,0.0
3m,2,Month_08,0.0
3m,2,Month_09,0.0
3m,2,Month_10,0.0
3m,2,Month_11,0.0
3m,3,∆ Salmon (NOK/KG) 1w,0.0
3m,3,∆ Salmon (NOK/KG) 2w,0.0
3m,3,∆ Salmon (NOK/KG) 1m,0.0
3m,3,∆ Salmon (NOK/KG) 3m,0.0
3m,3,∆ Salmon (NOK/KG) 6m,0.0042061420245155315
3m,3,∆ Salmon (NOK/KG) 12m,0.0017022177658936567
3m,3,Acc 1w,0.0
3m,3,Acc 1m,0.0
3m,3,RVol 4w,0.0
3m,3,RVol 13w,0.0
3m,3,RVol 52w,0.0
3m,3,Spread (FP - SSB),0.0034948435311570277
3m,3,∆ Spread (FP - SSB),0.00011045601291532053
3m,3,FWD 1m,0.0056237580616250215
3m,3,∆ FWD 1m,0.0
3m,3,FWD 3m,0.03739465059195955
3m,3,∆ FWD 3m,0.0
3m,3,FWD 6m,0.015551593497718183
3m,3,∆ FWD 6m,0.0
3m,3,FWD 12m,0.008328114465234796
3m,3,∆ FWD 12m,0.0
3m,3,FWD Slope,0.0
3m,3,FWD Curvature,0.0
3m,3,∆ Export Volume 1w,0.0
3m,3,∆ Export Volume 2w,0.0
3m,3,∆ Export Volume 1m,0.00016181810347280865
3m,3,∆ Chilean Exports 1w,0.0
3m,3,∆ Chilean Exports 2w,0.0
3m,3,∆ Chilean Exports 1m,7.709301967530173e-05
3m,3,∆ Chilean Exports 3m,0.0
3m,3,∆ Total Biomass Monthly,0.0014526495887047675
3m,3,∆YOY Total Biomass Monthly,0.0
3m,3,Avg Weight (KG) Monthly,0.0013720094687797461
3m,3,YOY Avg Weight (KG) Monthly,0.0
3m,3,Harvest Intensity 1m Monthly,0.0012869904377157118
3m,3,Harvest Intensity 3m Monthly,0.0012661381783434281
3m,3,Loss Rate 1m Monthly,0.0
3m,3,Loss Rate 3m Monthly,0.00010817978655676782
3m,3,Loss Rate 6m Monthly,0.0009524266406136582
3m,3,Smolt Release 2m Monthly,0.0014238120567907973
3m,3,Smolt Release 3m Monthly,0.003936202375902357
3m,3,Smolt Release 4m Monthly,0.01367216045020072
3m,3,Smolt Release 5m Monthly,0.0
3m,3,Smolt Release 6m Monthly,0.0
3m,3,Smolt Release 7m Monthly,0.000757405891945862
3m,3,Smolt Release 8m Monthly,0.01218800975853784
3m,3,Smolt Release 9m Monthly,0.0
3m,3,Smolt Release 10m Monthly,0.0
3m,3,Smolt Release 11m Monthly,0.0012899948026635743
3m,3,Smolt Release 12m Monthly,0.0
3m,3,Smolt Release 13m Monthly,0.0003611068088689031
3m,3,Smolt Release 14m Monthly,0.0024096307935695793
3m,3,Smolt Release 15m Monthly,0.013244605690095003
3m,3,Smolt Release 16m Monthly,0.0036982173773393765
3m,3,Smolt Release 17m Monthly,0.0010045083669078818
3m,3,Smolt Release 18m Monthly,0.0
3m,3,ISA Outbreak,0.0
3m,3,ISA Outbreak 1m,0.0008113812728895541
3m,3,ISA Outbreak 3m,0.0010633862935760065
3m,3,Lice Outbreak,0.0
3m,3,Lice Outbreak 1m,0.0
3m,3,Lice Outbreak 3m,0.0012178550842724825
3m,3,Sea Temp,0.0
3m,3,Sea Temp 12m Avg,0.0
3m,3,∆ EURNOK,0.0
3m,3,∆ EURNOK 1w,0.0
3m,3,∆ EURNOK 2w,0.0
3m,3,∆ EURNOK 1m,0.0
3m,3,∆ EURNOK 3m,0.0
3m,3,∆ EURNOK 6m,0.0008825271057421069
3m,3,∆ EURNOK 12m,0.0005157878154224746
3m,3,CPI NO Monthly,0.0010027887085073122
3m,3,NIBOR 3m,0.0
3m,3,∆ Shrimp Price (Global) 1m Monthly,0.0
3m,3,∆ Shrimp Price (Global) 3m Monthly,0.00021814138351705932
3m,3,∆ Shrimp Price (Global) 6m Monthly,0.0
3m,3,∆ Shrimp Price (Global) 12m Monthly,0.0
3m,3,∆ Broiler Price (EU) 1w,0.0006322410418010248
3m,3,∆ Broiler Price (EU) 2w,0.0
3m,3,∆ Broiler Price (EU) 1m,0.0008865888635511556
3m,3,∆ Broiler Price (EU) 3m,0.0004528533749924933
3m,3,∆ Broiler Price (EU) 6m,0.0010054314627154152
3m,3,∆ Broiler Price (EU) 12m,0.0009692381362862251
3m,3,∆ Pig Price (EU),0.0
3m,3,∆ Pig Price (EU) 1w,0.0010491894505309577
3m,3,∆ Pig Price (EU) 2w,0.0
3m,3,∆ Pig Price (EU) 1m,0.0
3m,3,∆ Pig Price (EU) 3m,0.0
3m,3,∆ Pig Price (EU) 6m,0.0005626275486756532
3m,3,∆ Pig Price (EU) 12m,0.0013278013847856493
3m,3,Meat CPI (EU) Monthly,0.0
3m,3,∆ Fishmeal 1m Monthly,0.0
3m,3,∆ Fishmeal 3m Monthly,0.0
3m,3,∆ Fishmeal 6m Monthly,0.0016165340264352897
3m,3,∆ Fishmeal 12m Monthly,0.0004025228029102182
3m,3,Brent FWD Slope,0.0003613040575538607
3m,3,Brent FWD Curvature,0.0
3m,3,Soybean FWD Slope,0.0
3m,3,Soybean FWD Curvature,0.0004140842649712492
3m,3,Month_01,0.0
3m,3,Month_02,0.0
3m,3,Month_03,0.0
3m,3,Month_04,0.0
3m,3,Month_05,0.0
3m,3,Month_06,0.0
3m,3,Month_07,0.0
3m,3,Month_08,0.0
3m,3,Month_09,0.0
3m,3,Month_10,0.0
3m,3,Month_11,0.0
3m,4,∆ Salmon (NOK/KG) 1w,0.0
3m,4,∆ Salmon (NOK/KG) 2w,0.00034794083433176224
3m,4,∆ Salmon (NOK/KG) 1m,0.0006736871228163303
3m,4,∆ Salmon (NOK/KG) 3m,0.0013858389211683184
3m,4,∆ Salmon (NOK/KG) 6m,0.002701368112379958
3m,4,∆ Salmon (NOK/KG) 12m,0.0026766220507980767
3m,4,Acc 1w,0.000611963048090764
3m,4,Acc 1m,0.00020614555594954188
3m,4,RVol 4w,0.0
3m,4,RVol 13w,0.0025096625460157944
3m,4,RVol 52w,0.0023720525536467104
3m,4,Spread (FP - SSB),0.010096976187631439
3m,4,∆ Spread (FP - SSB),0.00029356464553022125
3m,4,FWD 1m,0.008384085199695225
3m,4,∆ FWD 1m,0.0005343865712921951
3m,4,FWD 3m,0.03142807651798115
3m,4,∆ FWD 3m,0.0002243668951154712
3m,4,FWD 6m,0.02010758899208851
3m,4,∆ FWD 6m,0.0007141307894718415
3m,4,FWD 12m,0.021854718261352782
3m,4,∆ FWD 12m,0.0
3m,4,FWD Slope,0.0124827740841125
3m,4,FWD Curvature,0.00016166717572254187
3m,4,∆ Export Volume 1w,0.0
3m,4,∆ Export Volume 2w,0.0
3m,4,∆ Export Volume 1m,0.0002640588713543229
3m,4,∆ Chilean Exports 1w,5.208127620638989e-05
3m,4,∆ Chilean Exports 2w,0.0
3m,4,∆ Chilean Exports 1m,0.0002076047560160752
3m,4,∆ Chilean Exports 3m,0.0
3m,4,∆ Total Biomass Monthly,0.00028020006736364605
3m,4,∆YOY Total Biomass Monthly,0.011832617806857694
3m,4,Avg Weight (KG) Monthly,0.004785327495484798
3m,4,YOY Avg Weight (KG) Monthly,0.0010344782055116974
3m,4,Harvest Intensity 1m Monthly,0.0
3m,4,Harvest Intensity 3m Monthly,0.0002547378105487617
3m,4,Loss Rate 1m Monthly,0.0
3m,4,Loss Rate 3m Monthly,0.00023736840185529438
3m,4,Loss Rate 6m Monthly,0.00049407179318137
3m,4,Smolt Release 2m Monthly,0.003647304439516525
3m,4,Smolt Release 3m Monthly,0.005956126406186594
3m,4,Smolt Release 4m Monthly,0.009616014581800277
3m,4,Smolt Release 5m Monthly,1.7127647456536685e-05
3m,4,Smolt Release 6m Monthly,0.001084135549709129
3m,4,Smolt Release 7m Monthly,0.0015898906634850066
3m,4,Smolt Release 8m Monthly,0.013751666861534634
3m,4,Smolt Release 9m Monthly,0.0013471340481780263
3m,4,Smolt Release 10m Monthly,0.0005580507593217356
3m,4,Smolt Release 11m Monthly,0.0007883730123363373
3m,4,Smolt Release 12m Monthly,0.000921922968146074
3m,4,Smolt Release 13m Monthly,0.0
3m,4,Smolt Release 14m Monthly,0.0014388907739043607
3m,4,Smolt Release 15m Monthly,0.014730346241794659
3m,4,Smolt Release 16m Monthly,0.006023058664888963
3m,4,Smolt Release 17m Monthly,0.0012451116519181483
3m,4,Smolt Release 18m Monthly,0.00018942199837516905
3m,4,ISA Outbreak,0.0009356684126104008
3m,4,ISA Outbreak 1m,0.001969493779175392
3m,4,ISA Outbreak 3m,0.005490555400906344
3m,4,Lice Outbreak,0.0014028013751516627
3m,4,Lice Outbreak 1m,0.0005827424090595477
3m,4,Lice Outbreak 3m,0.00041927229124841557
3m,4,Sea Temp,0.0010079960326209816
3m,4,Sea Temp 12m Avg,0.0011802507225716174
3m,4,∆ EURNOK,0.00041803225558339075
3m,4,∆ EURNOK 1w,0.0
3m,4,∆ EURNOK 2w,7.254549048871098e-05
3m,4,∆ EURNOK 1m,0.00012085509936888982
3m,4,∆ EURNOK 3m,0.0
3m,4,∆ EURNOK 6m,0.00031350250937848477
3m,4,∆ EURNOK 12m,0.002382400491032177
3m,4,CPI NO Monthly,0.000942881721288011
3m,4,NIBOR 3m,0.0
3m,4,∆ Shrimp Price (Global) 1m Monthly,0.0005535470653880919
3m,4,∆ Shrimp Price (Global) 3m Monthly,0.002694498257822796
3m,4,∆ Shrimp Price (Global) 6m Monthly,0.0003722428698641647
3m,4,∆ Shrimp Price (Global) 12m Monthly,0.0018307954118684142
3m,4,∆ Broiler Price (EU) 1w,2.9165482955284156e-05
3m,4,∆ Broiler Price (EU) 2w,0.00019489759701236598
3m,4,∆ Broiler Price (EU) 1m,0.0
3m,4,∆ Broiler Price (EU) 3m,0.0
3m,4,∆ Broiler Price (EU) 6m,0.00033580251787529815
3m,4,∆ Broiler Price (EU) 12m,0.0011441372557154982
3m,4,∆ Pig Price (EU),0.0003109349483258038
3m,4,∆ Pig Price (EU) 1w,0.0015371961516556726
3m,4,∆ Pig Price (EU) 2w,0.0014043353750199722
3m,4,∆ Pig Price (EU) 1m,0.0
3m,4,∆ Pig Price (EU) 3m,0.0
3m,4,∆ Pig Price (EU) 6m,0.0
3m,4,∆ Pig Price (EU) 12m,0.0005191508859925034
3m,4,Meat CPI (EU) Monthly,0.007767537359355431
3m,4,∆ Fishmeal 1m Monthly,0.0006842667802341412
3m,4,∆ Fishmeal 3m Monthly,0.0007436096004368617
3m,4,∆ Fishmeal 6m Monthly,0.001626070209614178
3m,4,∆ Fishmeal 12m Monthly,0.0016981710859987815
3m,4,Brent FWD Slope,0.0016195127074374255
3m,4,Brent FWD Curvature,0.0006811458099149397
3m,4,Soybean FWD Slope,0.0012870150516341888
3m,4,Soybean FWD Curvature,0.008171047013564619
3m,4,Month_01,0.0
3m,4,Month_02,0.0
3m,4,Month_03,0.0
3m,4,Month_04,0.0
3m,4,Month_05,0.0
3m,4,Month_06,0.0001622538288998002
3m,4,Month_07,0.0
3m,4,Month_08,0.0
3m,4,Month_09,0.0
3m,4,Month_10,0.0
3m,4,Month_11,0.0
