Column,Type,Mean,Std,Skew,Kurt,Min,Max,pct_NaN,pct_Zero
∆ Broiler Price (EU) 12m,Feature,0.0019,0.0022,0.323,0.6208,-0.0067,0.0094,34.6,0.0
∆ Pig Price (EU),Feature,0.001,0.0316,0.5554,4.9319,-0.1639,0.2063,39.6,0.0
∆ Pig Price (EU) 1w,Feature,0.0011,0.0244,0.6364,3.8913,-0.0982,0.1568,39.7,0.0
∆ Pig Price (EU) 2w,Feature,0.0011,0.0209,0.4943,2.3457,-0.0864,0.1133,39.8,0.0
∆ Pig Price (EU) 1m,Feature,0.001,0.0168,0.5905,1.7633,-0.0481,0.0934,40.0,0.0
∆ Pig Price (EU) 3m,Feature,0.0011,0.0101,0.2403,0.118,-0.0302,0.031,40.8,0.0
∆ Pig Price (EU) 6m,Feature,0.0012,0.0073,0.0324,-0.1085,-0.0236,0.0186,42.0,0.0
∆ Pig Price (EU) 12m,Feature,0.0014,0.0047,0.4274,0.0676,-0.0126,0.0155,44.5,0.0
Meat CPI (EU) Monthly,Feature,2.725,3.0779,2.354,6.5174,-0.7,15.6,0.0,5.4
∆ Fishmeal 1m Monthly,Feature,0.0084,0.0566,0.7305,2.3455,-0.1205,0.2921,0.0,0.0
∆ Fishmeal 3m Monthly,Feature,0.0054,0.036,0.3757,0.6367,-0.0909,0.1306,0.0,0.0
∆ Fishmeal 6m Monthly,Feature,0.0054,0.0259,0.1629,-0.6306,-0.053,0.0625,0.0,0.0
∆ Fishmeal 12m Monthly,Feature,0.0052,0.0182,-0.0547,-0.639,-0.0315,0.0527,0.0,0.0
Brent FWD Slope,Feature,0.0018,0.0869,1.0777,3.6297,-0.3079,0.5605,0.0,0.1
Brent FWD Curvature,Feature,-0.0057,0.0265,-3.3724,38.0849,-0.3145,0.175,0.0,0.0
Soybean FWD Slope,Feature,-0.0563,0.1107,-0.6398,-0.0741,-0.4443,0.1654,0.9,0.1
Soybean FWD Curvature,Feature,0.0075,0.0716,1.1875,1.6157,-0.1689,0.2828,0.9,0.0
Month_01,Feature,0.0871,0.2821,2.9323,6.6106,0.0,1.0,0.0,91.3
Month_02,Feature,0.0805,0.2722,3.0884,7.5525,0.0,1.0,0.0,92.0
Month_03,Feature,0.0871,0.2821,2.9323,6.6106,0.0,1.0,0.0,91.3
Month_04,Feature,0.0824,0.2751,3.042,7.2678,0.0,1.0,0.0,91.8
Month_05,Feature,0.0843,0.2779,2.9971,6.996,0.0,1.0,0.0,91.6
Month_06,Feature,0.0805,0.2722,3.0884,7.5525,0.0,1.0,0.0,92.0
Month_07,Feature,0.0843,0.2779,2.9971,6.996,0.0,1.0,0.0,91.6
Month_08,Feature,0.0843,0.2779,2.9971,6.996,0.0,1.0,0.0,91.6
Month_09,Feature,0.0805,0.2722,3.0884,7.5525,0.0,1.0,0.0,92.0
Month_10,Feature,0.0843,0.2779,2.9971,6.996,0.0,1.0,0.0,91.6
Month_11,Feature,0.0814,0.2736,3.065,7.4084,0.0,1.0,0.0,91.9
