Feature,ADF stat,ADF p,ADF 5% cv,KPSS stat,KPSS p,KPSS 5% cv,Verdict,KPSS p note
Soybean FWD Curvature,-3.831,0.0026,-2.864,0.283,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_01,-10.003,0.0,-2.864,0.009,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_02,-9.387,0.0,-2.864,0.009,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_03,-10.378,0.0,-2.864,0.01,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_04,-10.188,0.0,-2.864,0.011,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_05,-10.043,0.0,-2.864,0.012,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_06,-10.341,0.0,-2.864,0.009,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_07,-10.043,0.0,-2.864,0.007,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_08,-10.043,0.0,-2.864,0.007,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_09,-10.341,0.0,-2.864,0.007,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_10,-10.043,0.0,-2.864,0.008,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Month_11,-10.233,0.0,-2.864,0.012,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
