Horizon,Fold,Feature,Importance
6m,4,∆ Export Volume 1m,0.0
6m,4,∆ Chilean Exports 1w,0.0
6m,4,∆ Chilean Exports 2w,0.0
6m,4,∆ Chilean Exports 1m,0.0
6m,4,∆ Chilean Exports 3m,0.0
6m,4,∆ Total Biomass Monthly,0.0
6m,4,∆YOY Total Biomass Monthly,0.0
6m,4,Avg Weight (KG) Monthly,0.0
6m,4,YOY Avg Weight (KG) Monthly,0.0
6m,4,Harvest Intensity 1m Monthly,0.0
6m,4,Harvest Intensity 3m Monthly,0.0
6m,4,Loss Rate 1m Monthly,0.0
6m,4,Loss Rate 3m Monthly,0.0
6m,4,Loss Rate 6m Monthly,0.0
6m,4,Smolt Release 2m Monthly,0.0
6m,4,Smolt Release 3m Monthly,0.0
6m,4,Smolt Release 4m Monthly,0.0
6m,4,Smolt Release 8m Monthly,0.0
6m,4,Smolt Release 9m Monthly,0.0
6m,4,Smolt Release 10m Monthly,0.0
6m,4,Smolt Release 11m Monthly,0.0
6m,4,Smolt Release 13m Monthly,0.0
6m,4,Smolt Release 14m Monthly,0.0
6m,4,Smolt Release 15m Monthly,0.0
6m,4,Smolt Release 16m Monthly,0.0
6m,4,Smolt Release 17m Monthly,0.0
6m,4,Smolt Release 18m Monthly,0.0
6m,4,ISA Outbreak,0.0
6m,4,ISA Outbreak 1m,0.0
6m,4,∆ EURNOK,0.0
6m,4,∆ EURNOK 1w,0.0
6m,4,∆ EURNOK 2w,0.0
6m,4,∆ EURNOK 1m,0.0
6m,4,∆ EURNOK 3m,0.0
6m,4,∆ EURNOK 6m,0.0
6m,4,∆ EURNOK 12m,0.0
6m,4,CPI NO Monthly,0.0
6m,4,NIBOR 3m,0.0
6m,4,∆ Shrimp Price (Global) 1m Monthly,0.0
6m,4,∆ Shrimp Price (Global) 3m Monthly,0.0
6m,4,∆ Shrimp Price (Global) 6m Monthly,0.0
6m,4,∆ Shrimp Price (Global) 12m Monthly,0.0
6m,4,Meat CPI (EU) Monthly,0.0
6m,4,∆ Fishmeal 1m Monthly,0.0
6m,4,∆ Fishmeal 3m Monthly,0.0
6m,4,∆ Fishmeal 6m Monthly,0.0
6m,4,∆ Fishmeal 12m Monthly,0.0
6m,4,Brent FWD Slope,0.0
6m,4,Brent FWD Curvature,0.0
6m,4,Soybean FWD Slope,0.0
6m,4,Soybean FWD Curvature,0.0
6m,4,Month_01,0.0
6m,4,Month_02,0.0
6m,4,Month_04,0.0
6m,4,Month_05,0.0
6m,4,Month_06,0.0
6m,4,Month_07,0.0
6m,4,Month_08,0.0
6m,4,Month_09,0.0
6m,4,Month_10,0.0
6m,4,Month_11,0.0
