Horizon,Fold,Feature,Importance
1w,3,∆ Chilean Exports 2w,0.0
1w,3,∆ Chilean Exports 1m,0.0
1w,3,∆ Chilean Exports 3m,0.0
1w,3,YOY Avg Weight (KG) Monthly,0.0
1w,3,Harvest Intensity 1m Monthly,0.0
1w,3,Loss Rate 1m Monthly,0.0
1w,3,Loss Rate 3m Monthly,0.0
1w,3,Loss Rate 6m Monthly,0.0
1w,3,Smolt Release 2m Monthly,0.0
1w,3,Smolt Release 3m Monthly,0.0
1w,3,Smolt Release 4m Monthly,0.0
1w,3,Smolt Release 5m Monthly,0.0
1w,3,Smolt Release 6m Monthly,0.0
1w,3,Smolt Release 7m Monthly,0.0
1w,3,Smolt Release 9m Monthly,0.0
1w,3,Smolt Release 11m Monthly,0.0
1w,3,Smolt Release 12m Monthly,0.0
1w,3,Smolt Release 13m Monthly,0.0
1w,3,Smolt Release 16m Monthly,0.0
1w,3,Smolt Release 17m Monthly,0.0
1w,3,Smolt Release 18m Monthly,0.0
1w,3,ISA Outbreak,0.0
1w,3,∆ EURNOK,0.0
1w,3,∆ EURNOK 1w,0.0
1w,3,∆ EURNOK 2w,0.0
1w,3,∆ EURNOK 1m,0.0
1w,3,∆ EURNOK 3m,0.0
1w,3,∆ EURNOK 6m,0.0
1w,3,∆ EURNOK 12m,0.0
1w,3,CPI NO Monthly,0.0
1w,3,∆ Shrimp Price (Global) 1m Monthly,0.0
1w,3,∆ Shrimp Price (Global) 3m Monthly,0.0
1w,3,∆ Shrimp Price (Global) 12m Monthly,0.0
1w,3,Meat CPI (EU) Monthly,0.0
1w,3,∆ Fishmeal 1m Monthly,0.0
1w,3,∆ Fishmeal 3m Monthly,0.0
1w,3,∆ Fishmeal 6m Monthly,0.0
1w,3,∆ Fishmeal 12m Monthly,0.0
1w,3,Month_01,0.0
1w,3,Month_02,0.0
1w,3,Month_03,0.0
1w,3,Month_05,0.0
1w,3,Month_06,0.0
1w,3,Month_07,0.0
1w,3,Month_08,0.0
1w,3,Month_09,0.0
1w,3,Month_11,0.0
1w,4,FWD 1m,28.959946
1w,4,∆ FWD 1m,9.988186
1w,4,∆ Total Biomass Monthly,9.652374
1w,4,Smolt Release 10m Monthly,6.981822
1w,4,∆ Shrimp Price (Global) 1m Monthly,5.350851
1w,4,∆ Shrimp Price (Global) 6m Monthly,5.0639977
1w,4,RVol 52w,4.201538
1w,4,∆YOY Total Biomass Monthly,4.055954
1w,4,Month_01,3.7106962
1w,4,∆ Export Volume 1w,3.5974436
1w,4,Month_09,3.5015016
1w,4,∆ Export Volume 1m,3.4812386
1w,4,Soybean FWD Slope,2.9957235
1w,4,Month_10,2.7107792
1w,4,ISA Outbreak,2.3233352
1w,4,Smolt Release 17m Monthly,1.7910353
1w,4,Month_02,1.6335763
1w,4,∆ Salmon (NOK/KG) 1w,0.0
1w,4,∆ Salmon (NOK/KG) 2w,0.0
1w,4,∆ Salmon (NOK/KG) 1m,0.0
1w,4,∆ Salmon (NOK/KG) 3m,0.0
1w,4,∆ Salmon (NOK/KG) 6m,0.0
1w,4,∆ Salmon (NOK/KG) 12m,0.0
1w,4,Acc 1w,0.0
1w,4,Acc 1m,0.0
1w,4,RVol 4w,0.0
1w,4,RVol 13w,0.0
1w,4,Spread (FP - SSB),0.0
1w,4,∆ Spread (FP - SSB),0.0
1w,4,FWD 3m,0.0
1w,4,∆ FWD 3m,0.0
1w,4,FWD 6m,0.0
1w,4,∆ FWD 6m,0.0
1w,4,FWD 12m,0.0
1w,4,∆ FWD 12m,0.0
1w,4,FWD Slope,0.0
1w,4,FWD Curvature,0.0
1w,4,∆ Export Volume 2w,0.0
1w,4,∆ Chilean Exports 1w,0.0
1w,4,∆ Chilean Exports 2w,0.0
1w,4,∆ Chilean Exports 1m,0.0
1w,4,∆ Chilean Exports 3m,0.0
1w,4,Avg Weight (KG) Monthly,0.0
1w,4,YOY Avg Weight (KG) Monthly,0.0
1w,4,Harvest Intensity 1m Monthly,0.0
1w,4,Harvest Intensity 3m Monthly,0.0
1w,4,Loss Rate 1m Monthly,0.0
1w,4,Loss Rate 3m Monthly,0.0
1w,4,Loss Rate 6m Monthly,0.0
1w,4,Smolt Release 2m Monthly,0.0
1w,4,Smolt Release 3m Monthly,0.0
1w,4,Smolt Release 4m Monthly,0.0
1w,4,Smolt Release 5m Monthly,0.0
1w,4,Smolt Release 6m Monthly,0.0
1w,4,Smolt Release 7m Monthly,0.0
1w,4,Smolt Release 8m Monthly,0.0
1w,4,Smolt Release 9m Monthly,0.0
1w,4,Smolt Release 11m Monthly,0.0
1w,4,Smolt Release 12m Monthly,0.0
1w,4,Smolt Release 13m Monthly,0.0
1w,4,Smolt Release 14m Monthly,0.0
1w,4,Smolt Release 15m Monthly,0.0
1w,4,Smolt Release 16m Monthly,0.0
1w,4,Smolt Release 18m Monthly,0.0
1w,4,ISA Outbreak 1m,0.0
1w,4,ISA Outbreak 3m,0.0
1w,4,∆ EURNOK,0.0
1w,4,∆ EURNOK 1w,0.0
1w,4,∆ EURNOK 2w,0.0
1w,4,∆ EURNOK 1m,0.0
1w,4,∆ EURNOK 3m,0.0
1w,4,∆ EURNOK 6m,0.0
1w,4,∆ EURNOK 12m,0.0
1w,4,CPI NO Monthly,0.0
1w,4,NIBOR 3m,0.0
1w,4,∆ Shrimp Price (Global) 3m Monthly,0.0
1w,4,∆ Shrimp Price (Global) 12m Monthly,0.0
1w,4,Meat CPI (EU) Monthly,0.0
1w,4,∆ Fishmeal 1m Monthly,0.0
1w,4,∆ Fishmeal 3m Monthly,0.0
1w,4,∆ Fishmeal 6m Monthly,0.0
1w,4,∆ Fishmeal 12m Monthly,0.0
1w,4,Brent FWD Slope,0.0
1w,4,Brent FWD Curvature,0.0
1w,4,Soybean FWD Curvature,0.0
1w,4,Month_03,0.0
1w,4,Month_04,0.0
1w,4,Month_05,0.0
1w,4,Month_06,0.0
1w,4,Month_07,0.0
1w,4,Month_08,0.0
1w,4,Month_11,0.0
