Horizon,Fold,Feature,Importance
0w,2,Loss Rate 6m Monthly,0.00023879239552873112
0w,2,Smolt Release 2m Monthly,0.0001415347132595532
0w,2,Smolt Release 3m Monthly,0.00038888549893665523
0w,2,Smolt Release 4m Monthly,0.0006341611729914073
0w,2,Smolt Release 5m Monthly,0.00044116369185353394
0w,2,Smolt Release 6m Monthly,0.0003411166199399799
0w,2,Smolt Release 7m Monthly,0.0008431050015298866
0w,2,Smolt Release 8m Monthly,0.0002099294849313387
0w,2,Smolt Release 9m Monthly,0.00035309244797122413
0w,2,Smolt Release 10m Monthly,0.0004682778342698402
0w,2,Smolt Release 11m Monthly,0.0006951664907141618
0w,2,Smolt Release 12m Monthly,0.00023371034075465798
0w,2,Smolt Release 13m Monthly,0.00032991826243000883
0w,2,Smolt Release 14m Monthly,0.00024322698104228382
0w,2,Smolt Release 15m Monthly,0.0002858482463867653
0w,2,Smolt Release 16m Monthly,0.00044092493957911843
0w,2,Smolt Release 17m Monthly,0.0005662131675703485
0w,2,Smolt Release 18m Monthly,0.0002946641024431832
0w,2,ISA Outbreak,0.00016230160614757674
0w,2,ISA Outbreak 1m,0.0003546874651256071
0w,2,ISA Outbreak 3m,9.29164518457094e-05
0w,2,Lice Outbreak,0.0008609215497795134
0w,2,Lice Outbreak 1m,0.0003245754906025794
0w,2,Lice Outbreak 3m,0.0006006341874191842
0w,2,Sea Temp,0.0015199678124741657
0w,2,Sea Temp 12m Avg,0.0004228205294474068
0w,2,∆ EURNOK,0.0009976098804412939
0w,2,∆ EURNOK 1w,0.0009522816713236623
0w,2,∆ EURNOK 2w,0.00047224064992463404
0w,2,∆ EURNOK 1m,0.0010564573652808546
0w,2,∆ EURNOK 3m,0.0005639402087491904
0w,2,∆ EURNOK 6m,0.00044324953870572017
0w,2,∆ EURNOK 12m,0.0003347931225843235
0w,2,CPI NO Monthly,0.0003860960327934936
0w,2,NIBOR 3m,0.0003760148928232869
0w,2,∆ Shrimp Price (Global) 1m Monthly,0.00031658264393011473
0w,2,∆ Shrimp Price (Global) 3m Monthly,0.0002644878719929132
0w,2,∆ Shrimp Price (Global) 6m Monthly,0.0014928241684654682
0w,2,∆ Shrimp Price (Global) 12m Monthly,0.0011593710123896342
0w,2,∆ Broiler Price (EU) 1w,0.0009759322359141379
0w,2,∆ Broiler Price (EU) 2w,0.0007692656212092983
0w,2,∆ Broiler Price (EU) 1m,0.0004346088362207978
0w,2,∆ Broiler Price (EU) 3m,0.0004528970434811215
0w,2,∆ Broiler Price (EU) 6m,0.00027318891477420913
0w,2,∆ Broiler Price (EU) 12m,0.0001817698184718477
0w,2,∆ Pig Price (EU),0.0002649179136313478
0w,2,∆ Pig Price (EU) 1w,0.0003265896065134061
0w,2,∆ Pig Price (EU) 2w,0.0003841767415373326
0w,2,∆ Pig Price (EU) 1m,0.001427705800068941
0w,2,∆ Pig Price (EU) 3m,0.00035522943784121493
0w,2,∆ Pig Price (EU) 6m,0.00013735073177592694
0w,2,∆ Pig Price (EU) 12m,0.00018427641662509243
0w,2,Meat CPI (EU) Monthly,0.0005421775567706651
0w,2,∆ Fishmeal 1m Monthly,0.0004905478386769273
0w,2,∆ Fishmeal 3m Monthly,0.00018773720262969527
0w,2,∆ Fishmeal 6m Monthly,0.00039217936174648096
0w,2,∆ Fishmeal 12m Monthly,0.00018287669685268743
0w,2,Brent FWD Slope,0.00047318061929567227
0w,2,Brent FWD Curvature,0.00029562965694658854
0w,2,Soybean FWD Slope,0.0014912272561114848
0w,2,Soybean FWD Curvature,0.0009752996998848248
0w,2,Month_01,0.0
0w,2,Month_02,0.0
0w,2,Month_03,0.0
0w,2,Month_04,0.0
0w,2,Month_05,0.0
0w,2,Month_06,3.256442182118206e-05
0w,2,Month_07,3.875047648536891e-05
0w,2,Month_08,4.164361371994037e-05
0w,2,Month_09,0.0
0w,2,Month_10,0.0
0w,2,Month_11,0.0
0w,3,∆ Salmon (NOK/KG) 1w,0.006839684979461107
0w,3,∆ Salmon (NOK/KG) 2w,0.0008363372504994585
0w,3,∆ Salmon (NOK/KG) 1m,0.00052466018076612
0w,3,∆ Salmon (NOK/KG) 3m,0.0006938213244561683
0w,3,∆ Salmon (NOK/KG) 6m,0.00020232431143202788
0w,3,∆ Salmon (NOK/KG) 12m,0.00038874837310982517
0w,3,Acc 1w,0.009950202169126121
0w,3,Acc 1m,0.0022549436803377906
0w,3,RVol 4w,0.0002925695700374518
0w,3,RVol 13w,0.0006555436904421237
0w,3,RVol 52w,0.0005725685900745049
0w,3,Spread (FP - SSB),0.001222381751383264
0w,3,∆ Spread (FP - SSB),0.001200471490129845
0w,3,FWD 1m,0.02086385164199538
0w,3,∆ FWD 1m,0.005030419567684918
0w,3,FWD 3m,0.0020188375929469384
0w,3,∆ FWD 3m,0.002431219465692584
0w,3,FWD 6m,0.0004809770252636231
0w,3,∆ FWD 6m,0.0004025498762289866
0w,3,FWD 12m,0.001954565622443663
0w,3,∆ FWD 12m,0.00033163951367955625
0w,3,FWD Slope,0.0015204475971687843
0w,3,FWD Curvature,0.001411329367888561
0w,3,∆ Export Volume 1w,0.0009625455866938478
0w,3,∆ Export Volume 2w,0.0012378550325405947
0w,3,∆ Export Volume 1m,0.002585359380528336
0w,3,∆ Chilean Exports 1w,0.0002600014708411867
0w,3,∆ Chilean Exports 2w,0.0006401262132676829
0w,3,∆ Chilean Exports 1m,0.000980884607902966
0w,3,∆ Chilean Exports 3m,0.00034217698409333354
0w,3,∆ Total Biomass Monthly,0.0028952610704002387
0w,3,∆YOY Total Biomass Monthly,6.876964922383872e-05
0w,3,Avg Weight (KG) Monthly,0.00033861547612551224
0w,3,YOY Avg Weight (KG) Monthly,0.00030629434231514176
0w,3,Harvest Intensity 1m Monthly,0.00032519537880037146
0w,3,Harvest Intensity 3m Monthly,0.00014717281191546118
0w,3,Loss Rate 1m Monthly,0.0008061081229931442
0w,3,Loss Rate 3m Monthly,0.0004009071664055385
0w,3,Loss Rate 6m Monthly,0.00023088317283845994
0w,3,Smolt Release 2m Monthly,6.610793322441324e-05
0w,3,Smolt Release 3m Monthly,3.009276256372566e-05
0w,3,Smolt Release 4m Monthly,0.0007642732997568352
0w,3,Smolt Release 5m Monthly,0.00047266146623806083
0w,3,Smolt Release 6m Monthly,0.00025833150440666817
0w,3,Smolt Release 7m Monthly,0.00039418015604892443
0w,3,Smolt Release 8m Monthly,0.00030136857124974834
0w,3,Smolt Release 9m Monthly,0.00044212315200267417
0w,3,Smolt Release 10m Monthly,0.0007475107469618427
0w,3,Smolt Release 11m Monthly,0.0007842117604169959
0w,3,Smolt Release 12m Monthly,0.00010368983664261256
0w,3,Smolt Release 13m Monthly,0.0002632703727780676
0w,3,Smolt Release 14m Monthly,0.00014114753912859354
0w,3,Smolt Release 15m Monthly,0.00018494298306613997
0w,3,Smolt Release 16m Monthly,0.0007484877634676215
0w,3,Smolt Release 17m Monthly,0.00039676219633791646
0w,3,Smolt Release 18m Monthly,0.0001431570768764904
0w,3,ISA Outbreak,0.00038861120987699954
0w,3,ISA Outbreak 1m,0.00010190830890495697
0w,3,ISA Outbreak 3m,0.00040183691793174665
0w,3,Lice Outbreak,0.0010232700278688474
0w,3,Lice Outbreak 1m,0.00016669968632171194
0w,3,Lice Outbreak 3m,5.2226085554205184e-05
0w,3,Sea Temp,0.0007557834547740784
0w,3,Sea Temp 12m Avg,0.000218264286270674
0w,3,∆ EURNOK,0.0008924806733509918
0w,3,∆ EURNOK 1w,0.0012657929403919847
0w,3,∆ EURNOK 2w,0.0004508399290595126
0w,3,∆ EURNOK 1m,0.0008992522149102788
0w,3,∆ EURNOK 3m,0.00041689404898811484
0w,3,∆ EURNOK 6m,0.00020809564242038495
0w,3,∆ EURNOK 12m,0.00028192629972366293
0w,3,CPI NO Monthly,0.0006459112212801481
0w,3,NIBOR 3m,0.0005253107578035865
0w,3,∆ Shrimp Price (Global) 1m Monthly,0.00027288841801859656
0w,3,∆ Shrimp Price (Global) 3m Monthly,0.00025133777473447484
0w,3,∆ Shrimp Price (Global) 6m Monthly,0.00017753515600403867
0w,3,∆ Shrimp Price (Global) 12m Monthly,0.0001206642818836044
0w,3,∆ Broiler Price (EU) 1w,0.0007368081255706349
0w,3,∆ Broiler Price (EU) 2w,0.0008206550370557713
0w,3,∆ Broiler Price (EU) 1m,0.0007606959023126335
0w,3,∆ Broiler Price (EU) 3m,0.0003358645994872078
0w,3,∆ Broiler Price (EU) 6m,0.00010434857626808681
0w,3,∆ Broiler Price (EU) 12m,5.2010625869961256e-05
0w,3,∆ Pig Price (EU),0.00015216057991306522
0w,3,∆ Pig Price (EU) 1w,0.0007117685651129937
0w,3,∆ Pig Price (EU) 2w,0.0005483773737418552
0w,3,∆ Pig Price (EU) 1m,0.000320940879113974
0w,3,∆ Pig Price (EU) 3m,0.0005200736870784787
0w,3,∆ Pig Price (EU) 6m,0.00022197603023052257
0w,3,∆ Pig Price (EU) 12m,0.00022357841431851078
0w,3,Meat CPI (EU) Monthly,0.0002894117823546001
0w,3,∆ Fishmeal 1m Monthly,0.0008937586679631112
0w,3,∆ Fishmeal 3m Monthly,0.0005259494684622145
0w,3,∆ Fishmeal 6m Monthly,0.0002867827237595506
0w,3,∆ Fishmeal 12m Monthly,0.0003553448851737913
0w,3,Brent FWD Slope,0.00030816815067881073
0w,3,Brent FWD Curvature,0.00015992149814935758
0w,3,Soybean FWD Slope,0.0009880099399839093
0w,3,Soybean FWD Curvature,0.0003646841500594016
0w,3,Month_01,0.0
0w,3,Month_02,0.0
0w,3,Month_03,0.0
0w,3,Month_04,0.0
0w,3,Month_05,0.0
0w,3,Month_06,0.0001274360601297544
0w,3,Month_07,9.083775081403712e-05
0w,3,Month_08,7.944816266978385e-05
0w,3,Month_09,1.1949485622829425e-05
0w,3,Month_10,0.0
0w,3,Month_11,0.0
0w,4,∆ Salmon (NOK/KG) 1w,0.0006047621869692759
