Horizon,Fold,Feature,Importance
1m,3,Harvest Intensity 1m Monthly,0.003450089166202224
1m,3,Harvest Intensity 3m Monthly,9.242608478053368e-05
1m,3,Loss Rate 1m Monthly,0.0006311992982482035
1m,3,Loss Rate 3m Monthly,0.0007871193610688081
1m,3,Loss Rate 6m Monthly,0.00033880486707293787
1m,3,Smolt Release 2m Monthly,0.0005478593192829223
1m,3,Smolt Release 3m Monthly,0.001955940113720627
1m,3,Smolt Release 4m Monthly,0.00718319701119476
1m,3,Smolt Release 5m Monthly,0.0015122071685982434
1m,3,Smolt Release 6m Monthly,0.0010726284052148345
1m,3,Smolt Release 7m Monthly,0.00030875166942754824
1m,3,Smolt Release 8m Monthly,0.003476287176820987
1m,3,Smolt Release 9m Monthly,0.009181647257166161
1m,3,Smolt Release 10m Monthly,0.0028680205239995983
1m,3,Smolt Release 11m Monthly,0.00029579628771584423
1m,3,Smolt Release 12m Monthly,0.0009283673752193346
1m,3,Smolt Release 13m Monthly,0.0
1m,3,Smolt Release 14m Monthly,0.00015871358084755568
1m,3,Smolt Release 15m Monthly,0.009447407720373956
1m,3,Smolt Release 16m Monthly,0.0058699347782621225
1m,3,Smolt Release 17m Monthly,0.0015763065208055903
1m,3,Smolt Release 18m Monthly,0.0013710091492761367
1m,3,ISA Outbreak,0.00011588871612509468
1m,3,ISA Outbreak 1m,0.0012334532382057718
1m,3,ISA Outbreak 3m,0.0008338948825579426
1m,3,Lice Outbreak,0.0015542602462500013
1m,3,Lice Outbreak 1m,0.000821129882564957
1m,3,Lice Outbreak 3m,0.00216188812110023
1m,3,Sea Temp,0.0007742049706004463
1m,3,Sea Temp 12m Avg,0.0006645598815672534
1m,3,∆ EURNOK,0.0
1m,3,∆ EURNOK 1w,8.012702421250894e-05
1m,3,∆ EURNOK 2w,0.0
1m,3,∆ EURNOK 1m,0.0003693973246578146
1m,3,∆ EURNOK 3m,0.0006170257191943998
1m,3,∆ EURNOK 6m,0.00024508413604220307
1m,3,∆ EURNOK 12m,0.0003112579309150372
1m,3,CPI NO Monthly,0.0008005725450555654
1m,3,NIBOR 3m,0.00013921121055891094
1m,3,∆ Shrimp Price (Global) 1m Monthly,0.001356086434528612
1m,3,∆ Shrimp Price (Global) 3m Monthly,0.00047483399777790904
1m,3,∆ Shrimp Price (Global) 6m Monthly,0.0005000326958109568
1m,3,∆ Shrimp Price (Global) 12m Monthly,0.0002882141564471611
1m,3,∆ Broiler Price (EU) 1w,0.0
1m,3,∆ Broiler Price (EU) 2w,0.00047692996019056173
1m,3,∆ Broiler Price (EU) 1m,0.00012890291727260617
1m,3,∆ Broiler Price (EU) 3m,0.0008865216735888886
1m,3,∆ Broiler Price (EU) 6m,0.0003096164146666722
1m,3,∆ Broiler Price (EU) 12m,0.0005268642452707815
1m,3,∆ Pig Price (EU),0.0
1m,3,∆ Pig Price (EU) 1w,0.0006469510249267544
1m,3,∆ Pig Price (EU) 2w,0.0002028102890503949
1m,3,∆ Pig Price (EU) 1m,0.0025177937270663723
1m,3,∆ Pig Price (EU) 3m,0.0008105602481789703
1m,3,∆ Pig Price (EU) 6m,0.0005030165233392633
1m,3,∆ Pig Price (EU) 12m,0.0006207655537630009
1m,3,Meat CPI (EU) Monthly,0.0014001538715662125
1m,3,∆ Fishmeal 1m Monthly,0.001284093513636644
1m,3,∆ Fishmeal 3m Monthly,0.000639726875652845
1m,3,∆ Fishmeal 6m Monthly,0.0006868105375973658
1m,3,∆ Fishmeal 12m Monthly,0.0005774580654430959
1m,3,Brent FWD Slope,0.00036796093695689723
1m,3,Brent FWD Curvature,0.00022581198107393804
1m,3,Soybean FWD Slope,0.0008270925275175458
1m,3,Soybean FWD Curvature,0.00010321335577816991
1m,3,Month_01,0.0
1m,3,Month_02,0.0
1m,3,Month_03,0.0
1m,3,Month_04,0.0
1m,3,Month_05,0.0
1m,3,Month_06,0.0
1m,3,Month_07,0.0
1m,3,Month_08,0.0
1m,3,Month_09,0.0
1m,3,Month_10,0.0
1m,3,Month_11,0.0005216958799443162
1m,4,∆ Salmon (NOK/KG) 1w,0.0001805819627598569
1m,4,∆ Salmon (NOK/KG) 2w,0.00034713264574571465
1m,4,∆ Salmon (NOK/KG) 1m,0.00038665239357979313
1m,4,∆ Salmon (NOK/KG) 3m,0.0008913059178133212
1m,4,∆ Salmon (NOK/KG) 6m,0.0003768256747578752
1m,4,∆ Salmon (NOK/KG) 12m,0.00033731567947262165
1m,4,Acc 1w,0.0
1m,4,Acc 1m,0.0006478985898106977
1m,4,RVol 4w,0.0008809017753776614
1m,4,RVol 13w,0.0007350730004298787
1m,4,RVol 52w,0.0014297055879941832
1m,4,Spread (FP - SSB),0.0003484404380841857
1m,4,∆ Spread (FP - SSB),0.0003648145021136412
1m,4,FWD 1m,0.025550036806174944
1m,4,∆ FWD 1m,0.0053984813042919095
1m,4,FWD 3m,0.005774864530782459
1m,4,∆ FWD 3m,0.0011221136369105075
1m,4,FWD 6m,0.005565788293020359
1m,4,∆ FWD 6m,0.001344984868374847
1m,4,FWD 12m,0.014961794866298974
1m,4,∆ FWD 12m,0.00048445234731203413
1m,4,FWD Slope,0.0004879518343389106
1m,4,FWD Curvature,0.0004576970022336624
1m,4,∆ Export Volume 1w,0.0001689255171237287
1m,4,∆ Export Volume 2w,0.0
1m,4,∆ Export Volume 1m,9.408828476672546e-05
1m,4,∆ Chilean Exports 1w,0.00019879796874965386
1m,4,∆ Chilean Exports 2w,0.0001205361194902558
1m,4,∆ Chilean Exports 1m,0.00023919638976661124
1m,4,∆ Chilean Exports 3m,0.00031934556150235
1m,4,∆ Total Biomass Monthly,0.00225836437912384
1m,4,∆YOY Total Biomass Monthly,0.003864550940219443
1m,4,Avg Weight (KG) Monthly,0.002318140375931716
1m,4,YOY Avg Weight (KG) Monthly,0.0024887162707498906
1m,4,Harvest Intensity 1m Monthly,0.0018340342225073494
1m,4,Harvest Intensity 3m Monthly,0.00023221061136010916
1m,4,Loss Rate 1m Monthly,0.0019670356427451447
1m,4,Loss Rate 3m Monthly,0.0004223174241880723
1m,4,Loss Rate 6m Monthly,0.0009546348319931985
1m,4,Smolt Release 2m Monthly,0.0001787427779516378
1m,4,Smolt Release 3m Monthly,0.0014420325119975284
1m,4,Smolt Release 4m Monthly,0.0050952787575328515
1m,4,Smolt Release 5m Monthly,0.0020730664827211995
1m,4,Smolt Release 6m Monthly,0.0019924368206994387
1m,4,Smolt Release 7m Monthly,0.0007134946914745445
1m,4,Smolt Release 8m Monthly,0.00273515957046312
1m,4,Smolt Release 9m Monthly,0.0051398474127042895
1m,4,Smolt Release 10m Monthly,0.002121861468987791
1m,4,Smolt Release 11m Monthly,0.0005345714805078317
1m,4,Smolt Release 12m Monthly,0.0004994872644333381
1m,4,Smolt Release 13m Monthly,0.00014457481830974995
1m,4,Smolt Release 14m Monthly,0.0003382064783748652
1m,4,Smolt Release 15m Monthly,0.007103535838891275
1m,4,Smolt Release 16m Monthly,0.0028613551003709653
1m,4,Smolt Release 17m Monthly,0.0037751755426358863
1m,4,Smolt Release 18m Monthly,0.0006692784480366894
1m,4,ISA Outbreak,0.0012539489267189377
1m,4,ISA Outbreak 1m,0.0008515301629432726
1m,4,ISA Outbreak 3m,0.0011115162567641088
1m,4,Lice Outbreak,0.0
1m,4,Lice Outbreak 1m,0.00044295392686130326
1m,4,Lice Outbreak 3m,0.0
1m,4,Sea Temp,0.0009730350277328757
1m,4,Sea Temp 12m Avg,0.000830320538770423
1m,4,∆ EURNOK,0.0
1m,4,∆ EURNOK 1w,0.0005544248264135626
1m,4,∆ EURNOK 2w,0.000263930818664824
1m,4,∆ EURNOK 1m,0.0007922155172049773
1m,4,∆ EURNOK 3m,0.0002444584031063871
1m,4,∆ EURNOK 6m,0.0005529234548571185
1m,4,∆ EURNOK 12m,0.00104386027477417
1m,4,CPI NO Monthly,0.0005847119039126477
1m,4,NIBOR 3m,0.0004451328616907432
1m,4,∆ Shrimp Price (Global) 1m Monthly,0.0054914264748315705
1m,4,∆ Shrimp Price (Global) 3m Monthly,0.0006541464646878956
1m,4,∆ Shrimp Price (Global) 6m Monthly,0.000287563727735816
1m,4,∆ Shrimp Price (Global) 12m Monthly,0.0007403389971233319
1m,4,∆ Broiler Price (EU) 1w,0.00014431416806714377
1m,4,∆ Broiler Price (EU) 2w,0.00016820412925773424
1m,4,∆ Broiler Price (EU) 1m,0.0003234166406335028
1m,4,∆ Broiler Price (EU) 3m,0.0004949972485140495
1m,4,∆ Broiler Price (EU) 6m,0.0003337873377176183
1m,4,∆ Broiler Price (EU) 12m,0.001722999228347995
1m,4,∆ Pig Price (EU),0.0001627369935107918
1m,4,∆ Pig Price (EU) 1w,0.0019127137764110213
1m,4,∆ Pig Price (EU) 2w,0.0024967415013592586
1m,4,∆ Pig Price (EU) 1m,0.001547066361563604
1m,4,∆ Pig Price (EU) 3m,0.0010517711356786146
1m,4,∆ Pig Price (EU) 6m,0.0007145261507350107
1m,4,∆ Pig Price (EU) 12m,0.001442741645840721
1m,4,Meat CPI (EU) Monthly,0.0016713683672416532
1m,4,∆ Fishmeal 1m Monthly,0.0010128629770113154
1m,4,∆ Fishmeal 3m Monthly,0.0024082475734294663
1m,4,∆ Fishmeal 6m Monthly,0.001381845003024642
1m,4,∆ Fishmeal 12m Monthly,0.00045484766099172444
1m,4,Brent FWD Slope,0.0008799490321523463
1m,4,Brent FWD Curvature,0.00023328587034636053
1m,4,Soybean FWD Slope,0.0009565059040845916
1m,4,Soybean FWD Curvature,0.0013881909311682379
1m,4,Month_01,0.0
1m,4,Month_02,0.0
1m,4,Month_03,0.0
1m,4,Month_04,0.0
1m,4,Month_05,0.0002952339186139203
1m,4,Month_06,0.0
1m,4,Month_07,0.0
1m,4,Month_08,0.0
1m,4,Month_09,0.0
1m,4,Month_10,0.0
1m,4,Month_11,0.0
