Uke,År,Lokalitetsnummer,Lokalitetsnavn,Sykdom,Status,Fra dato,Til dato,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,UtbruddsId,Subtype,Mistanke-dato,Påvist-dato,Tømt-dato,Avsluttet-dato
8,2021,18275,Kjeringå,PD,Påvist,2020-05-11,2021-06-19,1103,STAVANGER,11,Rogaland,59.19203,5.870017,2,Ryfylke,PD2020-62,SAV3,2020-05-11,2020-05-20,2021-01-11,2021-06-19
8,2021,10828,Kleppenes N,ILA,Påvist,2020-10-14,2021-11-02,5406,HAMMERFEST,54,Troms og Finnmark,70.53805,23.558533,12,Vest-Finnmark,ILA2020-27,HPR_del_ILAV,2020-10-14,2020-10-22,2021-02-04,2021-11-02
8,2021,33998,Klubben,ILA,Mistanke,2020-07-03,2021-07-01,5433,HASVIK,54,Troms og Finnmark,70.66396,22.6224,12,Vest-Finnmark,ILA2020-17,HPR_del_ILAV,2020-07-03,,2021-02-18,2021-07-01
8,2021,19195,Korsholman,PD,Påvist,2020-04-02,2021-05-14,5056,HITRA,50,Trøndelag,63.597218,8.51575,6,Nordmøre og Sør-Trøndelag,PD2020-64,SAV2,2020-04-02,2020-06-05,2021-04-14,2021-05-14
8,2021,36797,Korsnes,ILA,Mistanke,2021-02-18,2022-03-01,5423,KARLSØY,54,Troms og Finnmark,69.986916,19.931633,11,Kvaløya til Loppa,ILA2021-2,HPR_del_ILAV,2021-02-18,2021-05-14,2021-09-23,2022-03-01
8,2021,32097,Korsneset 2,PD,Mistanke,2021-02-24,2021-12-25,5055,HEIM,50,Trøndelag,63.14123,8.21375,6,Nordmøre og Sør-Trøndelag,PD2021-19,SAV2,2021-02-24,,2021-10-02,2021-12-25
8,2021,11809,Krabbestig,PD,Påvist,2020-02-03,2021-03-19,4602,KINN,46,Vestland,61.894566,5.0616,4,Nordhordaland til Stadt,PD2020-28,SAV3,2020-02-03,2020-02-14,2020-12-12,2021-03-19
8,2021,11719,Kråkenes,PD,Påvist,2021-02-02,2022-09-16,4636,SOLUND,46,Vestland,61.05835,4.921317,4,Nordhordaland til Stadt,PD2021-7,SAV3,2021-02-02,2021-02-11,2021-12-19,2022-09-16
8,2021,12213,Kvangardsnes,PD,Påvist,2020-11-09,2022-03-21,1577,VOLDA,15,Møre og Romsdal,62.145317,5.94545,5,Stadt til Hustadvika,PD2020-150,SAV3,2020-11-09,2020-12-08,2021-12-27,2022-03-21
8,2021,39197,Kverhelleskjeret,PD,Mistanke,2020-07-14,2021-12-16,4636,SOLUND,46,Vestland,60.992134,4.697483,4,Nordhordaland til Stadt,PD2020-116,SAV3,2020-07-14,,2021-05-06,2021-12-16
