Horizon,Fold,Feature,Importance
1m,2,Smolt Release 5m Monthly,0.0
1m,2,Smolt Release 6m Monthly,0.0
1m,2,Smolt Release 7m Monthly,0.0
1m,2,Smolt Release 8m Monthly,0.0
1m,2,Smolt Release 9m Monthly,0.0
1m,2,Smolt Release 10m Monthly,0.0
1m,2,Smolt Release 11m Monthly,0.0
1m,2,Smolt Release 12m Monthly,0.0
1m,2,Smolt Release 13m Monthly,0.0
1m,2,Smolt Release 14m Monthly,0.0
1m,2,Smolt Release 15m Monthly,0.0
1m,2,Smolt Release 16m Monthly,0.0
1m,2,Smolt Release 17m Monthly,0.0
1m,2,Smolt Release 18m Monthly,0.0
1m,2,ISA Outbreak,0.0
1m,2,∆ EURNOK,0.0
1m,2,∆ EURNOK 1w,0.0
1m,2,∆ EURNOK 2w,0.0
1m,2,∆ EURNOK 1m,0.0
1m,2,∆ EURNOK 3m,0.0
1m,2,∆ EURNOK 6m,0.0
1m,2,∆ EURNOK 12m,0.0
1m,2,CPI NO Monthly,0.0
1m,2,NIBOR 3m,0.0
1m,2,∆ Shrimp Price (Global) 1m Monthly,0.0
1m,2,∆ Shrimp Price (Global) 3m Monthly,0.0
1m,2,∆ Shrimp Price (Global) 6m Monthly,0.0
1m,2,∆ Shrimp Price (Global) 12m Monthly,0.0
1m,2,Meat CPI (EU) Monthly,0.0
1m,2,∆ Fishmeal 1m Monthly,0.0
1m,2,∆ Fishmeal 3m Monthly,0.0
1m,2,∆ Fishmeal 6m Monthly,0.0
1m,2,∆ Fishmeal 12m Monthly,0.0
1m,2,Brent FWD Slope,0.0
1m,2,Brent FWD Curvature,0.0
1m,2,Soybean FWD Slope,0.0
1m,2,Soybean FWD Curvature,0.0
1m,2,Month_01,0.0
1m,2,Month_02,0.0
1m,2,Month_03,0.0
1m,2,Month_04,0.0
1m,2,Month_05,0.0
1m,2,Month_06,0.0
1m,2,Month_07,0.0
1m,2,Month_08,0.0
1m,2,Month_09,0.0
1m,2,Month_10,0.0
1m,3,Month_11,100.0
1m,3,∆ Salmon (NOK/KG) 1w,0.0
1m,3,∆ Salmon (NOK/KG) 2w,0.0
1m,3,∆ Salmon (NOK/KG) 1m,0.0
1m,3,∆ Salmon (NOK/KG) 3m,0.0
1m,3,∆ Salmon (NOK/KG) 6m,0.0
1m,3,∆ Salmon (NOK/KG) 12m,0.0
1m,3,Acc 1w,0.0
1m,3,Acc 1m,0.0
1m,3,RVol 4w,0.0
1m,3,RVol 13w,0.0
1m,3,RVol 52w,0.0
1m,3,Spread (FP - SSB),0.0
1m,3,∆ Spread (FP - SSB),0.0
1m,3,FWD 1m,0.0
1m,3,∆ FWD 1m,0.0
1m,3,FWD 3m,0.0
1m,3,∆ FWD 3m,0.0
1m,3,FWD 6m,0.0
1m,3,∆ FWD 6m,0.0
1m,3,FWD 12m,0.0
1m,3,∆ FWD 12m,0.0
1m,3,FWD Slope,0.0
1m,3,FWD Curvature,0.0
1m,3,∆ Export Volume 1w,0.0
1m,3,∆ Export Volume 2w,0.0
1m,3,∆ Export Volume 1m,0.0
1m,3,∆ Chilean Exports 1w,0.0
1m,3,∆ Chilean Exports 2w,0.0
1m,3,∆ Chilean Exports 1m,0.0
1m,3,∆ Chilean Exports 3m,0.0
1m,3,∆ Total Biomass Monthly,0.0
1m,3,∆YOY Total Biomass Monthly,0.0
1m,3,Avg Weight (KG) Monthly,0.0
1m,3,YOY Avg Weight (KG) Monthly,0.0
1m,3,Harvest Intensity 1m Monthly,0.0
1m,3,Harvest Intensity 3m Monthly,0.0
1m,3,Loss Rate 1m Monthly,0.0
1m,3,Loss Rate 3m Monthly,0.0
1m,3,Loss Rate 6m Monthly,0.0
1m,3,Smolt Release 2m Monthly,0.0
1m,3,Smolt Release 3m Monthly,0.0
1m,3,Smolt Release 4m Monthly,0.0
1m,3,Smolt Release 5m Monthly,0.0
1m,3,Smolt Release 6m Monthly,0.0
1m,3,Smolt Release 7m Monthly,0.0
1m,3,Smolt Release 8m Monthly,0.0
1m,3,Smolt Release 9m Monthly,0.0
1m,3,Smolt Release 10m Monthly,0.0
1m,3,Smolt Release 11m Monthly,0.0
1m,3,Smolt Release 12m Monthly,0.0
1m,3,Smolt Release 13m Monthly,0.0
1m,3,Smolt Release 14m Monthly,0.0
1m,3,Smolt Release 15m Monthly,0.0
